Date,Open,High,Low,Close,Volume,MA_7,MA_21,MA_50,MA_200,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag5,Year,Month,Day,Day_of_Week,Quarter,Daily_Return,ATR,OBV,Price_Range,Price_Change
2020-11-05,886.4354619573483,889.1560327894556,876.0292050636682,886.4581298828125,37205373,886.7107543945312,951.9778674897693,979.5802075195312,773.5799334716797,29.551764579169713,-34.09665778793692,-24.525062587954338,-9.571595199982582,948.8094604492187,1066.947563093907,830.6713578045302,867.5046997070312,839.0292358398438,851.2945556640625,919.059814453125,2020,11,5,3,4,2.1848216133217635,30.258433091634565,-96710392,13.126827725787393,0.022667925464247674
2020-11-06,902.3282137896616,924.9997362683603,896.955016187128,920.0800170898438,66674086,887.8572823660714,947.4413917178199,978.8415661621094,774.7528256225586,38.0184345949171,-30.589893248382054,-25.738028720039885,-4.851864528342169,944.1776580810547,1058.982901565915,829.3724145961944,886.4581298828125,867.5046997070312,839.0292358398438,931.5745239257812,2020,11,6,4,4,3.7928342099446954,29.87949505043911,-30036306,28.0447200812323,17.751803300182132
2020-11-09,935.0205666821017,938.1492199552745,923.1859913130511,929.8514404296875,35838510,889.398943219866,943.4954572405134,978.2480249023438,775.9711080932617,41.445749214828275,-26.714338619074965,-25.933290699846903,-0.7810479192280617,939.9528076171875,1050.005878031442,829.899737202933,920.0800170898438,886.4581298828125,867.5046997070312,851.2945556640625,2020,11,9,0,4,1.0620188633973626,29.628485747848863,5802204,14.963228642223385,-5.16912625241423
2020-11-10,941.7767378395364,947.6713579150476,925.5439246746041,945.2001342773438,36934242,891.345458984375,940.2026803152902,978.2829370117188,777.2673645019531,46.75681750352568,-22.14910128212307,-25.176452816302138,3.0273515341790684,935.5057769775391,1036.3350927120505,834.6764612430278,929.8514404296875,920.0800170898438,886.4581298828125,839.0292358398438,2020,11,10,1,4,1.6506608669190737,28.156449782468346,42736446,22.12743324044345,3.423396437807355
2020-11-11,947.217858238175,949.9384288213167,896.9323084725518,905.5928344726562,56724780,899.1023559570312,934.0813511439732,977.4663061523438,778.380122680664,42.0141218506696,-21.47949365175566,-24.437060983392847,2.957567331637186,928.9242126464844,1018.3350793453567,839.5133459476122,945.2001342773438,929.8514404296875,920.0800170898438,867.5046997070312,2020,11,11,2,4,-4.1903612122282885,30.598502990439254,-13988334,53.006120348764966,-41.62502376551879
2020-11-12,898.247362719015,910.6940326424576,890.9924272689508,897.7938842773438,40046527,907.4973057338169,927.4418160574777,976.1223364257812,779.4657418823242,40.472614445045274,-21.33223021161507,-23.816094829037294,2.483864617422224,923.7891052246093,1007.5080900551853,840.0701203940333,905.5928344726562,945.2001342773438,929.8514404296875,886.4581298828125,2020,11,12,3,4,-0.8611983110327959,30.755589344507055,-54034861,19.701605373506823,-0.45347844167122275
2020-11-13,898.7007816340105,923.4807818666762,898.5874420075651,905.2301635742188,45388670,912.8866577148438,922.9053460984003,975.0730944824219,780.6220935058594,47.407663201424484,-20.38054306860181,-23.128984476950198,2.7484414083483877,919.7218231201172,998.3462252365674,841.0974210036669,897.7938842773438,905.5928344726562,945.2001342773438,920.0800170898438,2020,11,13,4,4,0.8282835767878582,29.830912295064973,-8646191,24.893339859111165,6.529381940208282
2020-11-14,913.6187335697492,913.8000769836483,904.7541349819926,907.9054565429688,5226220,915.9505615234375,919.1591389973959,974.3934033203125,781.8696615600586,47.449306874781946,-19.18924865342217,-22.341037312244595,3.1517886588224258,915.7792449951172,987.8881749772371,843.6703150129973,905.2301635742188,897.7938842773438,905.5928344726562,929.8514404296875,2020,11,14,5,4,0.2955373203856526,28.700574482693032,-3419971,9.045942001655703,-5.713277026780474
2020-11-17,945.4041769988106,945.4041769988106,900.0610116001939,903.8018188476562,46542562,913.6251046316964,915.2088913690476,973.5826684570312,783.0785934448243,48.525590318920194,-18.36457314538984,-21.545744478873644,3.181171333483803,912.0917083740235,978.1923068464266,845.9911099016203,907.9054565429688,905.2301635742188,897.7938842773438,945.2001342773438,2020,11,17,1,4,-0.45198953985120527,30.31025842457324,-49962533,45.34316539861675,-41.60235815115436
2020-11-18,903.8018324500739,909.8098520291383,888.7705994600573,901.05859375,30402290,909.5118408203125,911.5663219633557,972.4953405761719,784.3545559692383,46.73412385020192,-17.72800974209622,-20.782197531518158,3.0541877894219382,908.9766326904297,970.6264591887275,847.3268061921319,903.8018188476562,907.9054565429688,905.2301635742188,905.5928344726562,2020,11,18,2,4,-0.3035206436244886,30.161276339877677,-80364823,21.039252569080986,-2.7432387000739027
2020-11-19,901.0586339089177,911.6008986042735,892.4434427638029,894.6879272460938,27796343,902.2958112444196,908.2962181454614,970.7886279296876,785.6704653930664,43.15524473496918,-17.535450446470122,-20.13284811450855,2.597397668038429,905.9431823730469,963.8402391737357,848.046125572358,901.05859375,903.8018188476562,907.9054565429688,897.7938842773438,2020,11,19,3,4,-0.7070202257761005,30.12726596795335,-108161166,19.157455840470675,-6.370706662823977
2020-11-20,895.5267495451352,899.5169641211087,859.2522514859126,861.292724609375,57471248,895.9672241210938,903.8169700985864,967.0296826171875,786.877890625,52.246105479888584,-19.84875547708282,-20.076029587023406,0.22727410994058772,901.1016723632813,956.7782990554582,845.4250456711044,894.6879272460938,901.05859375,903.8018188476562,905.2301635742188,2020,11,20,4,4,-3.7326090606264573,27.567002537925898,-165632414,40.26471263519613,-34.2340249357602
2020-11-23,884.644369365096,893.2595600473776,873.4219475565428,884.5083618164062,45327567,894.0692923409598,900.3115147181919,963.6829089355468,788.1099099731446,59.73785815997307,-19.583017641508263,-19.977427197920377,0.39440955641211417,899.3242279052735,954.7219286507582,843.9265271597887,861.292724609375,894.6879272460938,901.05859375,907.9054565429688,2020,11,23,0,4,2.695440997433285,26.590508296507462,-120304847,19.837612490834772,-0.13600754868980403
2020-11-24,890.5390386169317,895.0733434410346,876.0292271989675,890.5617065429688,30936268,891.9737984793527,898.906964983259,960.6131787109375,789.3227639770507,55.46128758045209,-18.668762291956114,-19.715694216727528,1.046931924771414,897.727017211914,952.1438667710331,843.3101676527949,884.5083618164062,861.292724609375,894.6879272460938,903.8018188476562,2020,11,24,1,4,0.684373940132299,24.971109460642253,-89368579,19.044116242067048,0.022667926037001962
2020-11-25,897.7938413094128,903.6657931642695,880.654192057057,883.193359375,32637879,888.4434988839286,897.0349382672991,957.24826171875,790.4779742431641,49.18180232931653,-18.32750431591171,-19.438056236564364,1.1105519206526537,896.283969116211,950.6317323735021,841.9362058589198,890.5617065429688,884.5083618164062,861.292724609375,901.05859375,2020,11,25,2,4,-0.8273819897973822,25.67716470217262,-122006458,23.011601107212527,-14.600481934412755
2020-11-26,885.5738832910803,890.9923565552566,875.1449593853476,885.3698120117188,25838637,885.8103550502232,895.7642473493304,953.8751867675782,791.698084411621,39.67354356238888,-17.677656354361943,-19.085976260123882,1.4083199057619389,894.5994689941406,948.0560049912536,841.1429329970275,883.193359375,890.5617065429688,884.5083618164062,894.6879272460938,2020,11,26,3,4,0.246429914085744,24.80592735136381,-96167821,15.847397169908959,-0.20407127936152847
2020-11-27,879.8833317328676,886.956863707273,871.2228051404243,875.0316162109375,47336811,882.0922154017857,893.6676664806548,950.5293151855469,792.8621417236328,33.745648521420236,-17.791760820396917,-18.82713317217849,1.0353723517815716,891.7723236083984,942.9263676396232,840.6182795771737,885.3698120117188,883.193359375,890.5617065429688,861.292724609375,2020,11,27,4,4,-1.1676697873051478,24.860986631694193,-143504632,15.734058566848717,-4.851715521930146
2020-12-01,879.8152745444881,891.5591779283297,875.1449626736697,886.4127197265625,19750687,880.9100428989956,891.5171043759301,947.3480383300781,794.0447442626953,32.14924185897728,-16.77050949971465,-18.415808437685723,1.6452989379710736,893.5282318115235,941.1188289195413,845.9376347035056,875.0316162109375,885.3698120117188,883.193359375,884.5083618164062,2020,12,1,1,4,1.3006505484804531,24.45289963270966,-123753945,16.414215254660007,6.5974451820743525
2020-12-02,888.0450890461269,889.6321436054803,877.3894853981996,887.8864135742188,22188887,884.7091413225446,893.2595738002232,944.6483081054688,795.1954598999023,43.00307563475969,-15.66170728056693,-17.864988206261966,2.2032809256950365,895.9710906982422,936.2345566836665,855.7076247128178,886.4127197265625,875.0316162109375,885.3698120117188,890.5617065429688,2020,12,2,2,4,0.16625368915179628,21.54122376546079,-101565058,12.242658207280783,-0.15867547190816822
2020-12-03,894.1665064634373,898.2927286508155,888.1131507545629,890.5617065429688,27785372,885.5739048549107,895.7135009765625,942.407451171875,796.3509405517578,47.02149993816368,-14.401092914433434,-17.17220914789626,2.771116233462827,897.1239410400391,935.2174313947481,859.03045068533,887.8864135742188,886.4127197265625,875.0316162109375,883.193359375,2020,12,3,3,4,0.30131027210795747,20.86107894565692,-73779686,10.179577896252681,-3.6047999204685084
2020-12-04,892.806192431299,892.806192431299,879.6566964271353,882.7173461914062,18464552,884.4532819475446,896.4379127139136,939.8315112304688,797.4371151733399,40.75938166396767,-13.87507800702383,-16.512782919721776,2.637704912697945,896.9369018554687,935.2867658078252,858.5870379031122,890.5617065429688,887.8864135742188,886.4127197265625,885.3698120117188,2020,12,4,4,4,-0.8808328826548362,20.022232956017813,-92244238,13.149496004163666,-10.088846239892746
2020-12-07,879.9286890581647,890.9923750186222,879.9286890581647,887.9090576171875,18242188,885.126953125,896.5070045107886,937.8092077636719,798.5701620483399,41.95839349015261,-12.890683900221575,-15.788363115821735,2.89767921560016,895.3283538818359,932.263665659961,858.3930421037109,882.7173461914062,890.5617065429688,887.8864135742188,875.0316162109375,2020,12,7,0,4,0.5881510597000927,20.16635752450366,-74002050,11.06368596045752,7.98036855902285
2020-12-08,889.2467387240156,913.3239128258733,884.1909519390108,904.028564453125,43403061,887.7924891880581,895.7426496233259,935.9233862304687,799.8080752563477,50.083150357781555,-10.686645990313423,-14.768019690720074,4.081373700406651,894.0372100830078,927.5367500003794,860.5376701656363,887.9090576171875,882.7173461914062,890.5617065429688,886.4127197265625,2020,12,8,1,4,1.8154457033241922,19.00848577366407,-30598989,29.13296088686252,14.781825729109414
2020-12-09,911.3742252800819,922.1885651259229,906.5225094998519,919.08251953125,29175254,894.0854753766741,895.2298438662574,934.2066955566406,801.0398400878906,56.06223343367806,-7.637165217169695,-13.34184879601,5.704683578840305,892.7313293457031,919.1133698994406,866.3492887919656,904.028564453125,887.9090576171875,882.7173461914062,887.8864135742188,2020,12,9,2,4,1.665207900508281,18.624685992020495,-1423735,15.666055626070943,7.708294251168127
2020-12-10,916.6566737897788,919.7853272816659,907.3159891974719,910.0365600585938,16065507,897.4603097098214,893.5553879510788,932.0479113769532,802.2663009643554,55.07115327840687,-5.88255265805617,-11.849989568419234,5.967436910363064,892.953515625,919.8612435855382,866.0457876644618,919.08251953125,904.028564453125,887.9090576171875,890.5617065429688,2020,12,10,3,4,-0.9842380069713275,18.14696329514359,-17489242,12.469338084193964,-6.620113731185029
2020-12-11,912.7571538037538,924.0929759507371,895.1866924423914,909.4924926757812,26944202,900.546892438616,893.7410859607514,929.9752783203126,803.5817495727539,70.34060837532189,-4.484219958142489,-10.376835646363885,5.892615688221396,893.5384460449219,921.3815719480194,865.6953201418244,910.0365600585938,919.08251953125,904.028564453125,882.7173461914062,2020,12,11,4,4,-0.059785222560448936,17.335646928939987,-44433444,28.906283508345723,-3.264661127972545
2020-12-14,910.4672819578382,913.6639990942831,900.6731791916262,902.9176635742188,17312747,902.312029157366,893.9850754510788,927.8536730957031,804.9281829833984,59.03827252241454,-3.8620457203501246,-9.073877661161132,5.211831940811008,893.4228210449219,921.0801012899773,865.7655407998665,909.4924926757812,910.0365600585938,919.08251953125,887.9090576171875,2020,12,14,0,4,-0.7229118606816631,16.84659031549871,-61746191,12.990819902656881,-7.549618383619418
2020-12-15,902.1921882018914,902.1921882018914,889.2240359631435,895.2320556640625,18551265,904.0998447963169,893.5089750744048,925.6967016601562,806.290765991211,52.256794213187845,-3.9436722822022148,-8.04783658536935,4.104164303167135,892.7891510009765,919.6176131440662,865.9606888578868,902.9176635742188,909.4924926757812,910.0365600585938,904.028564453125,2020,12,15,1,4,-0.8511969828713495,16.412592886690202,-80297456,12.968152238747962,-6.96013253782894
2020-12-16,901.421286250231,904.5726673464999,891.3097731763147,896.2294921875,18561011,905.2884783063616,892.9529767717634,923.576455078125,807.6711968994141,56.71258553216311,-3.883114996516383,-7.214892267598756,3.331777271082373,892.4105346679687,918.794662262539,866.0264070733984,895.2320556640625,902.9176635742188,909.4924926757812,919.08251953125,2020,12,16,2,4,0.11141653352633174,15.716256676902535,-61736445,13.262894170185177,-5.191794062730992
2020-12-17,899.8343755485606,909.1297243018021,896.5016507528353,900.3331298828125,20252358,904.7605590820312,892.7878011067709,921.1106958007813,809.2009844970703,57.55499085668572,-3.464062093330085,-6.464726232745023,3.000664139414938,892.3742614746094,918.7102791232973,866.0382438259215,896.2294921875,895.2320556640625,902.9176635742188,910.0365600585938,2020,12,17,3,4,0.4578780023514417,15.48630498969238,-41484087,12.628073548966768,0.49875433425188476
2020-12-18,897.8393321203232,909.0844227514516,890.9924788965842,903.0310668945312,18466344,902.4674944196429,892.8817283993676,918.8643969726562,810.772221069336,65.31881315871902,-2.8810477540774855,-5.747990537011516,2.8669427829340304,892.7914184570312,919.542775432188,866.0400614818744,900.3331298828125,896.2294921875,895.2320556640625,909.4924926757812,2020,12,18,4,4,0.29965986168585257,15.654725367408,-23017743,18.091943854867395,5.191734774208044
2020-12-21,911.3968279822237,916.8379694209409,841.2283275836958,879.5205688476562,44135540,898.1080671037946,892.1594732375372,916.2004870605468,812.1661834716797,46.67105333755491,-4.266919010492643,-5.451776231707742,1.1848572212150987,893.7028106689453,916.9479652065929,870.4576561312977,903.0310668945312,900.3331298828125,896.2294921875,902.9176635742188,2020,12,21,0,4,-2.603509326398501,19.882970123306936,-67153283,75.60964183724514,-31.876259134567476
2020-12-22,883.7375484737753,888.2265172786522,856.2822534289644,878.1603393554688,28140001,893.6320452008929,892.9626929873511,913.4767248535156,813.560390625,45.29709807884367,-5.412598056798629,-5.44394059672592,0.03134253992729086,893.3854095458985,917.322244848291,869.448574243506,879.5205688476562,903.0310668945312,900.3331298828125,895.2320556640625,2020,12,22,1,4,-0.15465579093502102,21.29022766919315,-95293284,31.944263849687786,-5.577209118306541
2020-12-23,875.1222487607458,884.84834662795,870.882627660445,881.4022827148438,19501410,890.5584193638393,892.8147844587054,910.4219555664063,815.0346667480469,45.59523138625113,-5.989911251797025,-5.553134727740141,-0.43677652405688416,892.9274383544922,917.4354163386984,868.4194603702861,878.1603393554688,879.5205688476562,903.0310668945312,896.2294921875,2020,12,23,2,4,0.36917442226489516,21.56066631713975,-75791874,13.96571896750504,6.280033954097917
2020-12-24,882.8306894509022,906.3184389463692,882.3319351071959,904.2100219726562,20776988,891.8409859793527,893.4647042410714,907.7616735839844,816.7127883911132,59.03546693269946,-4.554540267177913,-5.353415835627695,0.7988755684497821,893.978271484375,918.5311320630822,869.4254109056678,881.4022827148438,878.1603393554688,879.5205688476562,900.3331298828125,2020,12,24,3,4,2.5876650997046946,22.334738305354715,-55014886,23.986503839173224,21.37933252175401
2020-12-28,909.900545527166,915.0243362502358,904.7314189530317,908.35888671875,17221499,893.5737566266741,894.6630626860119,905.9189306640625,818.7624905395508,58.673104342324756,-3.047094698147589,-4.892151608131674,1.845056909984085,895.1277252197266,920.1320436449415,870.1234067945117,904.2100219726562,881.4022827148438,878.1603393554688,903.0310668945312,2020,12,28,0,4,0.45883861550688465,22.279683400836614,-37793387,10.292917297204099,-1.5416588084159457
2020-12-29,910.9434754302608,912.439798429375,898.9501635431251,902.3509521484375,18611939,893.8620169503348,895.4716884068081,904.23443359375,820.6940246582031,49.221746915698596,-2.310588309808054,-4.37583894846695,2.0652506386588962,896.4936920166016,919.8029619987922,873.184422034411,908.35888671875,904.2100219726562,881.4022827148438,879.5205688476562,2020,12,29,1,4,-0.6614053826252353,21.162302972221426,-56405326,13.48963488624986,-8.592523281823333
2020-12-30,904.7086818653785,910.1271552061415,895.7760806552021,904.822021484375,22043630,894.1178676060268,896.8902791341146,902.5957336425781,822.8404531860351,42.51006590926577,-1.5100995592699746,-3.802691070627555,2.2925915113575805,897.4141571044922,920.5001280943578,874.3281861146266,902.3509521484375,908.35888671875,904.2100219726562,878.1603393554688,2020,12,30,2,4,0.27384792248006384,21.068375752569175,-34361696,14.351074550939416,0.11333961899651968
2020-12-31,903.9151605691493,912.2582756026694,897.1590400316046,900.197021484375,18781189,897.0716465541294,897.5466744559152,901.048623046875,824.8691416931152,44.58036680210343,-1.2346727654379492,-3.289087409589634,2.054414644151685,898.0296875,920.6987420045125,875.3606329954875,904.822021484375,902.3509521484375,908.35888671875,881.4022827148438,2020,12,31,3,4,-0.5111502472511242,21.256225573059947,-53142885,15.09923557106481,-3.7181390847742932
2021-01-01,901.421320358103,905.5022064134912,898.7007496438623,901.1946411132812,10015175,900.3622610909598,898.1803995768229,899.8053137207031,827.1032321166992,45.452252531915725,-0.9252300048256075,-2.816315928636829,1.8910859238112216,898.5613342285156,920.9904125329305,876.1322559241008,900.197021484375,904.822021484375,902.3509521484375,904.2100219726562,2021,1,1,4,1,0.11082236500419285,19.677309377437318,-43127710,6.801456769628885,-0.22667924482175295
2021-01-04,904.6406964491767,906.3636985650919,892.3527025549105,902.713623046875,24513534,903.40673828125,898.7590622674851,898.7524475097656,829.3621405029297,49.88161200326089,-0.5510728158560596,-2.3632673060806755,1.8121944902246159,899.561148071289,920.7657596384308,878.3565365041472,901.1946411132812,900.197021484375,904.822021484375,908.35888671875,2021,1,4,0,1,0.16855203796122264,19.750179099403358,-18614176,14.01099601018143,-1.927073402301744
2021-01-05,892.8061915878011,899.4263054198029,886.9115713255545,891.4912719726562,24123091,901.5897739955357,899.1768682570685,897.419814453125,831.653289489746,47.91509760659233,-1.1468799721184268,-2.119989839288226,0.9731098671697991,899.7402587890625,920.5879720093645,878.8925455687605,902.713623046875,901.1946411132812,900.197021484375,902.3509521484375,2021,1,5,1,1,-1.2431795408537893,19.71779208908196,-42737267,12.51473409424841,-1.314919615144845
2021-01-06,891.4005200596658,891.4458559107388,863.8546128646693,867.9808349609375,46401468,895.8214808872768,898.2279052734375,896.3782861328125,833.9405139160157,37.41419125221218,-3.4760870502146872,-2.391209281473518,-1.084877768741169,897.9378723144531,923.0262568874809,872.8494877414253,891.4912719726562,902.713623046875,901.1946411132812,904.822021484375,2021,1,6,2,1,-2.6372032739811146,20.741245580216553,-89138735,27.591243046069508,-23.419685098728337
2021-01-07,870.814757093236,881.9238397966232,863.8546244352824,866.5751953125,32325918,890.7106584821429,896.4444115048364,895.2596716308594,835.9964744567872,34.58911170825165,-5.373481661131677,-2.98766375740515,-2.3858179037265272,895.3125061035156,922.0212623664067,868.6037498406245,867.9808349609375,891.4912719726562,902.713623046875,900.197021484375,2021,1,7,3,1,-0.16194362730379552,21.129898566814695,-121464653,18.069215361340753,-4.2395617807360395
2021-01-08,869.6811201830574,878.9311324815067,867.005885344283,876.7999877929688,27540187,886.7075108119419,894.4309576125372,894.5545849609375,838.4030618286133,38.79522243739956,-5.983155170831083,-3.5867620400903366,-2.396393130740746,893.6506774902343,920.6365645339733,866.6647904464953,866.5751953125,867.9808349609375,891.4912719726562,901.1946411132812,2021,1,8,4,1,1.1799082798327198,20.689420229840145,-93924466,11.925247137223664,7.118867609911376
2021-01-11,879.1124426510808,879.1124426510808,858.1185873709477,860.2723999023438,33307825,881.0039934430804,892.0612357003348,893.3788366699218,840.594259185791,41.256411536051544,-7.711075556647529,-4.4116247434017755,-3.2994508132457536,891.1896728515625,920.9294084626505,861.4499372404745,876.7999877929688,866.5751953125,867.9808349609375,902.713623046875,2021,1,11,0,1,-1.8849895210682366,16.788292618617852,-127232291,20.99385528013306,-18.840042748737005
